País,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Ano,Continente
África do Sul,121,91,126,183,112,86,174,87,111,121,119,352,2011,África
Angola,1452,893,974,898,1097,827,882,992,1146,1155,995,1370,2011,África
Cabo Verde,5,14,9,7,15,9,10,10,5,5,11,5,2011,África
Nigéria,27,26,46,34,45,65,51,14,29,32,42,24,2011,África
Outros,285,219,353,247,259,237,843,235,209,285,343,353,2011,África
Costa Rica,218,157,118,187,213,123,148,153,229,194,272,233,2011,América Central
Cuba,66,47,47,61,68,119,71,60,81,103,77,75,2011,América Central
Panamá,61,71,121,109,96,112,61,72,149,144,233,111,2011,América Central
Porto Rico,76,70,83,96,97,94,91,94,132,160,168,96,2011,América Central
Outros,131,201,229,374,251,245,431,272,377,445,378,246,2011,América Central
Canadá,838,1508,1569,961,753,653,1328,888,717,935,1073,1527,2011,América do Norte
Estados Unidos,9919,13117,21634,13234,12985,13263,12869,13353,11459,13172,14588,17648,2011,América do Norte
México,368,628,794,778,760,685,880,747,765,1020,1324,1322,2011,América do Norte
Argentina,23187,21246,20800,14882,10842,9761,13602,12149,13743,17823,18188,19777,2011,América do Sul
Bolívia,63,53,67,57,57,70,48,45,68,173,57,83,2011,América do Sul
Chile,7367,10719,5165,4758,4536,3741,4348,4262,5095,6617,5346,5400,2011,América do Sul
Colômbia,619,412,696,920,737,847,1323,853,1089,908,1906,1992,2011,América do Sul
Equador,169,316,430,460,428,405,640,562,444,579,725,325,2011,América do Sul
Guiana Francesa,0,0,0,0,1,0,0,0,0,0,0,0,2011,América do Sul
Paraguai,833,455,194,256,230,226,351,317,382,277,393,514,2011,América do Sul
Peru,499,1005,739,1048,930,799,664,926,811,845,1233,701,2011,América do Sul
República da Guiana,0,2,7,1,14,7,5,2,2,2,10,20,2011,América do Sul
Suriname,2,0,0,2,2,0,107,0,1,9,1,11,2011,América do Sul
Uruguai,1110,1307,1289,2677,772,1029,972,1112,1541,1568,1509,828,2011,América do Sul
Venezuela,467,515,1090,944,831,643,737,1352,1048,868,1238,1269,2011,América do Sul
China,710,569,931,638,1044,797,634,896,826,775,1312,1176,2011,Ásia
Índia,113,173,269,271,251,241,392,223,204,277,300,261,2011,Ásia
Israel,693,882,933,666,477,372,341,359,359,481,587,606,2011,Ásia
Japão,398,669,942,460,716,510,505,746,643,583,656,440,2011,Ásia
República da Coréia,187,254,259,269,310,184,221,271,195,270,249,229,2011,Ásia
Outros,342,428,735,409,639,384,665,282,318,417,509,604,2011,Ásia
Alemanha,3203,3535,4609,3869,2223,1989,3297,2988,3026,4227,5494,5386,2011,Europa
Áustria,421,517,801,336,236,208,506,383,296,541,752,757,2011,Europa
Bélgica,460,492,596,746,740,433,979,499,448,702,821,878,2011,Europa
Dinamarca,612,869,556,740,334,380,607,267,359,546,592,761,2011,Europa
Espanha,1962,2334,3409,3256,2344,2238,2727,2819,2221,2798,3284,3595,2011,Europa
Finlândia,487,397,320,223,205,175,260,124,159,264,237,463,2011,Europa
França,4985,7596,6399,6570,4773,3606,6053,5842,3598,5703,6322,8646,2011,Europa
Grécia,147,182,136,134,162,91,211,230,122,128,173,275,2011,Europa
Holanda,910,976,1164,772,782,898,1182,696,790,1149,1366,1845,2011,Europa
Hungria,211,159,147,85,170,58,81,45,68,81,266,132,2011,Europa
Inglaterra,3434,5322,6169,5028,3377,3336,3331,3417,3837,4411,5483,5325,2011,Europa
Irlanda,395,377,441,367,333,408,479,316,395,435,528,562,2011,Europa
Itália,3987,3471,3413,2448,1839,2571,3388,5022,2326,3157,5075,7607,2011,Europa
Noruega,1354,1547,1007,1129,640,790,663,581,845,1022,1364,1466,2011,Europa
Polônia,303,490,531,260,353,331,347,233,257,218,725,384,2011,Europa
Portugal,3280,3020,3335,3955,2259,2139,2418,2615,2591,2754,3836,4976,2011,Europa
República Tcheca,148,237,274,214,241,199,114,131,122,133,241,160,2011,Europa
Rússia,1356,1674,1245,598,356,372,270,361,358,787,1061,1458,2011,Europa
Suécia,1327,1201,833,757,494,480,531,344,398,601,944,1492,2011,Europa
Suíça,947,1078,1069,1184,485,496,1144,467,551,939,1058,1992,2011,Europa
Outros,1233,1227,1298,839,985,659,1041,533,623,739,1442,1450,2011,Europa
Austrália,780,838,1815,903,869,507,591,601,753,949,1037,1317,2011,Oceania
Nova Zelândia,124,137,377,180,378,144,216,182,145,167,200,256,2011,Oceania
Outros,1,0,1,4,2,4,1,1,0,2,5,1,2011,Oceania
África do Sul,131,200,175,208,134,166,177,139,125,147,108,438,2012,África
Angola,1636,1282,1316,1088,922,721,864,885,952,789,868,1218,2012,África
Cabo Verde,5,10,19,10,5,25,6,11,15,10,17,4,2012,África
Nigéria,66,108,75,57,88,510,36,37,29,48,50,37,2012,África
Outros,390,581,594,340,380,2066,352,334,320,297,394,571,2012,África
Costa Rica,296,116,222,196,197,251,120,164,163,283,192,220,2012,América Central
Cuba,65,36,65,62,76,125,70,80,80,102,93,101,2012,América Central
Panamá,50,62,140,75,89,168,64,124,73,135,177,112,2012,América Central
Porto Rico,71,71,153,164,88,148,94,120,147,183,213,147,2012,América Central
Outros,182,192,373,279,313,614,276,320,311,611,434,289,2012,América Central
Canadá,1218,1784,1576,1190,808,1311,817,806,801,1045,1136,1809,2012,América do Norte
Estados Unidos,10711,16457,15989,10892,11623,14133,11607,13538,11203,11679,13383,18782,2012,América do Norte
México,554,661,969,902,634,847,907,949,712,899,796,933,2012,América do Norte
Argentina,36393,27163,31410,22982,13370,9467,21528,14026,16634,18842,20754,23275,2012,América do Sul
Bolívia,61,47,56,62,47,143,88,52,76,83,70,88,2012,América do Sul
Chile,7344,9018,7530,5962,6038,5450,5391,5094,6864,7516,5866,6353,2012,América do Sul
Colômbia,1183,1108,1803,1404,1152,1848,1461,1502,1824,1833,2226,2748,2012,América do Sul
